variant,cls,acc,dice,iou,prec,rec
single_noTTA,malignant,0.9919891357420362,0.9133520382886394,0.8405224787337773,0.9183538001960891,0.908404464868981
single_noTTA,benign,0.9967651367185979,0.9249291784669798,0.8603425559890624,0.9315263908635413,0.9184247538613333
single_noTTA,malignant,0.8784637451170535,0.0,0.0,0.0,0.0
single_noTTA,normal,0.9677886962889148,0.0,0.0,0.0,0.0
single_noTTA,normal,1.0,1.0,1.0,1.0,1.0
single_noTTA,benign,0.9335479736326701,0.9248191689538687,0.8601522109113836,0.9391676308681536,0.910902536896922
single_noTTA,benign,0.9987792968748477,0.9593908629392924,0.9219512195032006,0.9732234809374539,0.945945945936477
single_noTTA,malignant,0.9636993408201655,0.8744127118192079,0.7768502016689083,0.8404708747708133,0.9112113543834182
single_noTTA,benign,0.9978942871092228,0.9162621359167703,0.8454647256344293,0.9544879898741531,0.8809801633502803
single_noTTA,benign,0.9923095703123487,0.9648780487798153,0.9321394910449278,0.9768590376732371,0.9531873881303137
single_noTTA,benign,0.9565429687498541,0.903188524032598,0.8234674270124444,0.9711967249060813,0.8440815807860448
single_noTTA,benign,0.9603576660154785,0.0,0.0,0.0,0.0
single_noTTA,malignant,0.9782562255857883,0.9499947362876969,0.9047523561253227,0.9740932642480036,0.9270597904246783
