file,cls,mode,method,acc,dice,iou,prec,rec
benign_benign_235.png,benign,auto,RegionGrowing,0.6880950927733326,0.0,0.0,0.0,0.0
normal_normal_1.png,normal,oracle,Watershed,1.0,1.0,1.0,1.0,1.0
normal_normal_1.png,normal,oracle,Otsu,1.0,1.0,1.0,1.0,1.0
normal_normal_1.png,normal,oracle,RegionGrowing,1.0,1.0,1.0,1.0,1.0
normal_normal_1.png,normal,auto,Watershed,0.0,0.0,0.0,0.0,0.0
normal_normal_1.png,normal,auto,Otsu,0.4379119873046207,0.0,0.0,0.0,0.0
normal_normal_1.png,normal,auto,RegionGrowing,0.9908599853514114,0.0,0.0,0.0,0.0
benign_benign_268.png,benign,oracle,Watershed,0.9095001220701737,0.6618778860950562,0.4946319018400693,0.5026844475229454,0.9686300684115324
benign_benign_268.png,benign,oracle,Otsu,0.941238403320169,0.7316189281477931,0.5768131868125529,0.6281713738623406,0.8758551643569568
benign_benign_268.png,benign,oracle,RegionGrowing,0.9303588867186081,0.38721804511226204,0.24009324009284033,0.9910652920894085,0.2406140497242773
benign_benign_268.png,benign,auto,Watershed,0.31758117675776404,0.027147549542096725,0.013760557478992269,0.015608584721592975,0.1041214750540562
benign_benign_268.png,benign,auto,Otsu,0.5438690185546046,0.0,0.0,0.0,0.0
benign_benign_268.png,benign,auto,RegionGrowing,0.8999481201170502,0.0,0.0,0.0,0.0
benign_benign_98.png,benign,oracle,Watershed,0.8761138916014288,0.8011170173674642,0.6682195251519479,0.8158866380596668,0.7868726240311886
benign_benign_98.png,benign,oracle,Otsu,0.8200531005858124,0.7465778446329115,0.5956316006032795,0.6744971654885942,0.8359078003941889
benign_benign_98.png,benign,oracle,RegionGrowing,0.8139648437498759,0.5864034194990887,0.41483081353471807,0.9937909623996851,0.4159087628119841
benign_benign_98.png,benign,auto,Watershed,0.8761138916014288,0.8011170173674642,0.6682195251519479,0.8158866380596668,0.7868726240311886
benign_benign_98.png,benign,auto,Otsu,0.8236694335936243,0.7507333908540228,0.6009392913873193,0.6803237030373821,0.8373995476633282
benign_benign_98.png,benign,auto,RegionGrowing,0.7870941162108175,0.5061758980709586,0.3388457164516969,0.9567835161881767,0.34411241037469603
benign_benign_142.png,benign,oracle,Watershed,0.9973754882810979,0.8453237409995925,0.732087227402927,0.9999999999787234,0.732087227402927
benign_benign_142.png,benign,oracle,Otsu,0.9925537109373486,0.6919191919148238,0.5289575289524232,0.5817409766392596,0.8535825545038382
